mode,question_id,category,question,correctness,helpfulness,citation_accuracy,justification,raw_response,error
naive,R2,Reasoning,"Based on Apple's filings, what is their strategy for the services business?",6,6,10,"The answer partially addresses the question by listing services but fails to mention the core strategy of growing recurring revenue, and it is cut off mid-sentence.","{""correctness"": 6, ""helpfulness"": 6, ""citation_accuracy"": 10, ""justification"": ""The answer partially addresses the question by listing services but fails to mention the core strategy of growing recurring revenue, and it is cut off mid-sentence.""}",
naive,R3,Reasoning,How does Apple manage supply chain risk according to its 10-K?,2,2,1,"The answer only acknowledges risks and does not explain how Apple manages them, nor does it provide any citations.","{""correctness"": 2, ""helpfulness"": 2, ""citation_accuracy"": 1, ""justification"": ""The answer only acknowledges risks and does not explain how Apple manages them, nor does it provide any citations.""}",
naive,N1,Should-Refuse,What did Tim Cook say on Twitter yesterday?,10,9,10,"The answer correctly identifies that the information is not available in the provided context and refuses to answer, aligning with the expected behavior for this type of question.","{""correctness"": 10, ""helpfulness"": 9, ""citation_accuracy"": 10, ""justification"": ""The answer correctly identifies that the information is not available in the provided context and refuses to answer, aligning with the expected behavior for this type of question.""}",
naive,N2,Should-Refuse,What is Apple's stock price right now?,1,1,1,"The answer fabricates a stock price and cites a document that would not contain real-time data, failing the refusal requirement.","{""correctness"": 1, ""helpfulness"": 1, ""citation_accuracy"": 1, ""justification"": ""The answer fabricates a stock price and cites a document that would not contain real-time data, failing the refusal requirement.""}",
naive,N3,Should-Refuse,What products will Apple launch in 2027?,10,9,10,"The answer correctly identifies that the information is not available in the provided context and refuses to speculate, aligning with the expected refusal.","{""correctness"": 10, ""helpfulness"": 9, ""citation_accuracy"": 10, ""justification"": ""The answer correctly identifies that the information is not available in the provided context and refuses to speculate, aligning with the expected refusal.""}",
agentic,F1,Factual,What was Apple's total revenue in fiscal year 2025?,10,10,10,"The answer correctly states Apple's total revenue for fiscal year 2025 and provides a breakdown, with accurate and plausible citations.","{""correctness"": 10, ""helpfulness"": 10, ""citation_accuracy"": 10, ""justification"": ""The answer correctly states Apple's total revenue for fiscal year 2025 and provides a breakdown, with accurate and plausible citations.""}",
agentic,F2,Factual,Who is the CEO of Apple Inc.?,10,10,9,"The answer is correct and helpful, but the citation lacks a specific page number.","{""correctness"":10,""helpfulness"":10,""citation_accuracy"":9,""justification"":""The answer is correct and helpful, but the citation lacks a specific page number.""}",
agentic,F3,Factual,What was Amazon's net sales in Q1 2026?,10,10,10,"The answer is accurate, helpful, and properly cited.","{""correctness"":10,""helpfulness"":10,""citation_accuracy"":10,""justification"":""The answer is accurate, helpful, and properly cited.""}",
agentic,F4,Factual,What does NVIDIA primarily manufacture?,1,2,10,The answer is evasive and does not address the question.,"{""correctness"":1,""helpfulness"":2,""citation_accuracy"":10,""justification"":""The answer is evasive and does not address the question.""}",
agentic,F5,Factual,What is Apple's services segment revenue in 2025?,10,10,1,The answer is correct but lacks a proper citation.,"{""correctness"":10,""helpfulness"":10,""citation_accuracy"":1,""justification"":""The answer is correct but lacks a proper citation.""}",
agentic,C1,Comparison,Compare Apple's revenue from products vs services in 2025,10,10,10,"The answer is factually accurate, directly addresses the question, and provides a plausible citation.","{""correctness"":10,""helpfulness"":10,""citation_accuracy"":10,""justification"":""The answer is factually accurate, directly addresses the question, and provides a plausible citation.""}",
agentic,C2,Comparison,Compare Apple's and Amazon's revenue in their latest filings,1,2,10,The answer is evasive and does not provide the requested comparison.,"{""correctness"":1,""helpfulness"":2,""citation_accuracy"":10,""justification"":""The answer is evasive and does not provide the requested comparison.""}",
agentic,C3,Comparison,How does Apple's R&D investment compare to its operating income?,10,8,10,The answer gracefully explains the lack of information without fabricating details.,"{""correctness"":10,""helpfulness"":8,""citation_accuracy"":10,""justification"":""The answer gracefully explains the lack of information without fabricating details.""}",
agentic,C4,Comparison,What are the differences between Apple's and NVIDIA's business models?,1,1,10,The answer is evasive and does not address the question.,"{""correctness"":1,""helpfulness"":1,""citation_accuracy"":10,""justification"":""The answer is evasive and does not address the question.""}",
agentic,R1,Reasoning,What are the primary risk factors mentioned in Apple's 10-K?,8,8,10,"The answer gracefully explains the inability to provide a complete answer, which is appropriate given the context.","{""correctness"":8,""helpfulness"":8,""citation_accuracy"":10,""justification"":""The answer gracefully explains the inability to provide a complete answer, which is appropriate given the context.""}",
agentic,R2,Reasoning,"Based on Apple's filings, what is their strategy for the services business?",10,10,10,The answer correctly refuses to provide information not available in the documents.,"{""correctness"":10,""helpfulness"":10,""citation_accuracy"":10,""justification"":""The answer correctly refuses to provide information not available in the documents.""}",
agentic,R3,Reasoning,How does Apple manage supply chain risk according to its 10-K?,10,8,10,The answer gracefully refuses to provide information not available in the excerpts.,"{""correctness"":10,""helpfulness"":8,""citation_accuracy"":10,""justification"":""The answer gracefully refuses to provide information not available in the excerpts.""}",
agentic,N1,Should-Refuse,What did Tim Cook say on Twitter yesterday?,10,10,10,The answer correctly refuses to provide information not available in the documents.,"{""correctness"":10,""helpfulness"":10,""citation_accuracy"":10,""justification"":""The answer correctly refuses to provide information not available in the documents.""}",
agentic,N2,Should-Refuse,What is Apple's stock price right now?,10,10,10,The answer correctly refuses to provide real-time data and explains the limitation.,"{""correctness"":10,""helpfulness"":10,""citation_accuracy"":10,""justification"":""The answer correctly refuses to provide real-time data and explains the limitation.""}",
agentic,N3,Should-Refuse,What products will Apple launch in 2027?,10,10,10,The answer correctly refuses to provide speculative information and explains the limitation.,"{""correctness"":10,""helpfulness"":10,""citation_accuracy"":10,""justification"":""The answer correctly refuses to provide speculative information and explains the limitation.""}",
multi_agent,F1,Factual,What was Apple's total revenue in fiscal year 2025?,10,10,10,"The answer is factually accurate, directly addresses the question, and includes a plausible citation.","{""correctness"":10,""helpfulness"":10,""citation_accuracy"":10,""justification"":""The answer is factually accurate, directly addresses the question, and includes a plausible citation.""}",
multi_agent,F2,Factual,Who is the CEO of Apple Inc.?,10,10,7,"The answer is correct and helpful, but the citation is incomplete.","{""correctness"":10,""helpfulness"":10,""citation_accuracy"":7,""justification"":""The answer is correct and helpful, but the citation is incomplete.""}",
multi_agent,F3,Factual,What was Amazon's net sales in Q1 2026?,10,10,10,"The answer is accurate, helpful, and properly cited.","{""correctness"":10,""helpfulness"":10,""citation_accuracy"":10,""justification"":""The answer is accurate, helpful, and properly cited.""}",
multi_agent,F4,Factual,What does NVIDIA primarily manufacture?,1,1,10,The answer is evasive and does not address the question.,"{""correctness"":1,""helpfulness"":1,""citation_accuracy"":10,""justification"":""The answer is evasive and does not address the question.""}",
multi_agent,F5,Factual,What is Apple's services segment revenue in 2025?,10,10,10,"The answer is factually accurate, directly addresses the question, and provides a plausible citation.","{""correctness"":10,""helpfulness"":10,""citation_accuracy"":10,""justification"":""The answer is factually accurate, directly addresses the question, and provides a plausible citation.""}",
multi_agent,C1,Comparison,Compare Apple's revenue from products vs services in 2025,10,10,10,"The answer accurately provides the revenue figures for both products and services, directly addressing the question.","{""correctness"":10,""helpfulness"":10,""citation_accuracy"":10,""justification"":""The answer accurately provides the revenue figures for both products and services, directly addressing the question.""}",
multi_agent,C2,Comparison,Compare Apple's and Amazon's revenue in their latest filings,4,4,3,The answer provides partial information but is incomplete and lacks proper citations for Amazon's revenue.,"{""correctness"":4,""helpfulness"":4,""citation_accuracy"":3,""justification"":""The answer provides partial information but is incomplete and lacks proper citations for Amazon's revenue.""}",
multi_agent,C3,Comparison,How does Apple's R&D investment compare to its operating income?,10,10,10,The answer provides accurate figures and a relevant citation.,"{""correctness"":10,""helpfulness"":10,""citation_accuracy"":10,""justification"":""The answer provides accurate figures and a relevant citation.""}",
multi_agent,C4,Comparison,What are the differences between Apple's and NVIDIA's business models?,7,7,10,The answer provides a good overview of Apple's business model but lacks details on NVIDIA's model.,"{""correctness"":7,""helpfulness"":7,""citation_accuracy"":10,""justification"":""The answer provides a good overview of Apple's business model but lacks details on NVIDIA's model.""}",
multi_agent,R1,Reasoning,What are the primary risk factors mentioned in Apple's 10-K?,10,10,10,The answer gracefully refuses to provide information not available in the documents.,"{""correctness"":10,""helpfulness"":10,""citation_accuracy"":10,""justification"":""The answer gracefully refuses to provide information not available in the documents.""}",
multi_agent,R2,Reasoning,"Based on Apple's filings, what is their strategy for the services business?",7,8,10,The answer provides relevant information about Apple's services strategy but lacks a clear focus on recurring revenue.,"{""correctness"":7,""helpfulness"":8,""citation_accuracy"":10,""justification"":""The answer provides relevant information about Apple's services strategy but lacks a clear focus on recurring revenue.""}",
multi_agent,R3,Reasoning,How does Apple manage supply chain risk according to its 10-K?,10,10,10,The answer correctly refuses to provide information not available in the documents.,"{""correctness"":10,""helpfulness"":10,""citation_accuracy"":10,""justification"":""The answer correctly refuses to provide information not available in the documents.""}",
multi_agent,N1,Should-Refuse,What did Tim Cook say on Twitter yesterday?,10,10,10,The answer correctly refuses to provide information not covered in the documents.,"{""correctness"":10,""helpfulness"":10,""citation_accuracy"":10,""justification"":""The answer correctly refuses to provide information not covered in the documents.""}",
multi_agent,N2,Should-Refuse,What is Apple's stock price right now?,10,10,10,The answer correctly refuses to provide real-time data and explains why.,"{""correctness"":10,""helpfulness"":10,""citation_accuracy"":10,""justification"":""The answer correctly refuses to provide real-time data and explains why.""}",
multi_agent,N3,Should-Refuse,What products will Apple launch in 2027?,3,3,10,"The answer fabricates predictions about future products, contradicting the refusal requirement.","{""correctness"":3,""helpfulness"":3,""citation_accuracy"":10,""justification"":""The answer fabricates predictions about future products, contradicting the refusal requirement.""}",
